78.47.93.204 - - [26/Oct/2022:08:49:07 -0700] "GET /wp-content/plugins/superlogoshowcase-wp/css/sls-wp-admin.css HTTP/1.1" 500 2264 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:49:19 -0700] "GET /wp-content/plugins/mstore-api/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:49:30 -0700] "GET /wp-content/plugins/dzs-zoomsounds/admin/admin.css HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:49:41 -0700] "GET /wp-content/plugins/shortcode-addons/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:01 -0700] "GET /wp-content/plugins/vc-tabs/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:05 -0700] "GET /wp-content/plugins/wp-file-manager/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:19 -0700] "GET /wp-content/plugins/masterstudy-lms-learning-management-system/readme.txt HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:29 -0700] "GET /wp-content/plugins/mapsvg-lite-interactive-vector-maps/gm_download.php?file=/wp-config.php HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (iPhone14,3; U; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Mobile/19A346 Safari/602.1" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:40 -0700] "GET /wp-content/plugins/mapsvg/gm_download.php?file=/wp-config.php HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
78.47.93.204 - - [26/Oct/2022:08:50:49 -0700] "GET /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php HTTP/1.1" 404 88 "https://www.google.com" "Mozilla/5.0 (Linux; Android 11; Lenovo YT-J706X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36" "www.theashish.net"
