52.167.144.55 - - [14/Feb/2023:03:22:35 -0800] "GET /robots.txt HTTP/1.1" 404 88 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
40.77.167.215 - - [14/Feb/2023:03:22:38 -0800] "GET /microelectronicslab.html HTTP/1.1" 200 2996 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" "theashish.net"
51.222.253.7 - - [14/Feb/2023:03:26:37 -0800] "GET /seniorresearch.html HTTP/1.1" 200 13494 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.4 - - [14/Feb/2023:03:26:39 -0800] "GET /IMGS/senior/update5/code.png HTTP/1.1" 200 27793 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.16 - - [14/Feb/2023:03:26:39 -0800] "GET /IMGS/senior/update11/blockdesign.PNG HTTP/1.1" 200 95530 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.19 - - [14/Feb/2023:03:26:40 -0800] "GET /IMGS/senior/update7/decoderoutput.jpg HTTP/1.1" 200 297303 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.7 - - [14/Feb/2023:03:26:40 -0800] "GET /IMGS/senior/update4/serialoutput.jpg HTTP/1.1" 200 255234 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.7 - - [14/Feb/2023:03:26:41 -0800] "GET /IMGS/senior/update12/blockdesign.png HTTP/1.1" 200 249750 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.17 - - [14/Feb/2023:03:26:43 -0800] "GET /IMGS/senior/update10/wave%20outputs.jpg HTTP/1.1" 200 360040 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.6 - - [14/Feb/2023:03:26:44 -0800] "GET /IMGS/senior/update8/schematic.jpg HTTP/1.1" 200 1428272 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
