104.200.131.168 - - [21/Oct/2022:12:18:52 -0700] "GET /AboutPage HTTP/1.1" 404 88 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:53 -0700] "GET /ledcube.html HTTP/1.1" 200 2696 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:54 -0700] "GET / HTTP/1.1" 200 4079 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:55 -0700] "GET /marblemaze.html HTTP/1.1" 200 2473 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:56 -0700] "GET /index.html HTTP/1.1" 200 4079 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:57 -0700] "GET /reactivelights.html HTTP/1.1" 200 2578 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:58 -0700] "GET /Certifications.html HTTP/1.1" 200 2352 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:18:59 -0700] "GET /powerglove.html HTTP/1.1" 200 2835 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:00 -0700] "GET /ProjectPage HTTP/1.1" 200 3153 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
104.200.131.168 - - [21/Oct/2022:12:19:02 -0700] "GET /facetrack.html HTTP/1.1" 200 2585 "https://theashish.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36" "theashish.net"
