51.222.253.11 - - [23/Sep/2022:02:13:41 -0700] "GET /IMGS/ProjectPageEight/one.jpg HTTP/1.1" 200 82061 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.17 - - [23/Sep/2022:02:13:42 -0700] "GET /IMGS/ashisht.png HTTP/1.1" 200 14989 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.4 - - [23/Sep/2022:02:13:43 -0700] "GET /IMGS/ProjectPageSeven/one%20(Copy).jpg HTTP/1.1" 200 91631 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.4 - - [23/Sep/2022:02:13:44 -0700] "GET /IMGS/USCInternship/OLED.jpg HTTP/1.1" 200 379633 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.6 - - [23/Sep/2022:02:13:44 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 21377 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.3 - - [23/Sep/2022:02:13:46 -0700] "GET /css/bootstrap.min.css HTTP/1.1" 200 19744 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.3 - - [23/Sep/2022:02:13:49 -0700] "GET /css/modern-business.css HTTP/1.1" 404 88 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.20 - - [23/Sep/2022:02:13:49 -0700] "GET /IMGS/ProjectPageTen/five.jpg HTTP/1.1" 200 97618 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.19 - - [23/Sep/2022:02:13:50 -0700] "GET /IMGS/ProjectPageFive/bgimg.PNG HTTP/1.1" 200 547162 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.10 - - [23/Sep/2022:02:13:51 -0700] "GET /IMGS/customguitar/xephos.jpg HTTP/1.1" 200 2050459 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.8 - - [23/Sep/2022:02:13:53 -0700] "GET /IMGS/FPGAgaming/FPGAgaming.PNG HTTP/1.1" 200 928710 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.16 - - [23/Sep/2022:02:13:54 -0700] "GET /css/shop-homepage.css HTTP/1.1" 200 467 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.18 - - [23/Sep/2022:02:13:55 -0700] "GET /IMGS/ProjectPageTwo/three%20(Copy).jpg HTTP/1.1" 200 75727 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.16 - - [23/Sep/2022:02:13:57 -0700] "GET /IMGS/senior/update10/both%20mics.jpg HTTP/1.1" 200 347058 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.7 - - [23/Sep/2022:02:13:58 -0700] "GET /IMGS/customguitar/zealot.jpg HTTP/1.1" 200 1793209 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.1 - - [23/Sep/2022:02:14:03 -0700] "GET /js/jquery.js HTTP/1.1" 200 33224 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.11 - - [23/Sep/2022:02:14:03 -0700] "GET /IMGS/ProjectPageEleven/one.jpg HTTP/1.1" 200 209171 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
51.222.253.9 - - [23/Sep/2022:02:14:04 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 9833 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" "www.theashish.net"
